Ticker,Company,Date,Open,High,Low,Close,Volume,Daily_Return
AMZN,Amazon.com Inc,2021-09-10,175.09154,175.4225,173.145275,173.4575,47945380.0,
AMZN,Amazon.com Inc,2021-09-13,174.14,174.898,171.900005,172.8585,51380440.0,-0.0034532954758371703
AMZN,Amazon.com Inc,2021-09-14,173.7775,174.3403,171.88552,172.5,38737940.0,-0.002073950659065016
AMZN,Amazon.com Inc,2021-09-15,172.126,174.271,170.1005,173.7895,59150740.0,0.007475362318840606
AMZN,Amazon.com Inc,2021-09-16,172.998,174.6275,172.30716,174.412,51671960.0,0.00358191950606912
AMZN,Amazon.com Inc,2021-09-17,174.42073,174.8705,172.6065,173.126,92331120.0,-0.007373345870696935
AMZN,Amazon.com Inc,2021-09-20,169.8,170.95,165.2505,167.7865,93382600.0,-0.03084169910931933
AMZN,Amazon.com Inc,2021-09-21,168.75,168.985,166.6195,167.1815,55617560.0,-0.003605772812472985
AMZN,Amazon.com Inc,2021-09-22,167.55,169.45,167.0525,169.0025,48228060.0,0.01089235351997675
AMZN,Amazon.com Inc,2021-09-23,169.0025,171.448,169.0025,170.8,47588280.0,0.010635937338205226
AMZN,Amazon.com Inc,2021-09-24,170.1005,171.463,169.67,171.276,42324820.0,0.002786885245901649
AMZN,Amazon.com Inc,2021-09-27,168.575,170.7785,166.9805,170.29,72689000.0,-0.005756790209953677
AMZN,Amazon.com Inc,2021-09-28,167.8855,168.4595,164.505005,165.798,88616380.0,-0.026378530741675954
AMZN,Amazon.com Inc,2021-09-29,166.1055,167.565,164.8935,165.056,51245360.0,-0.004475325395963736
AMZN,Amazon.com Inc,2021-09-30,165.8,166.3925,163.6995,164.252,56940660.0,-0.004871074059713099
AMZN,Amazon.com Inc,2021-10-01,164.4505,165.45873,162.797,164.163,56712340.0,-0.0005418503275455011
AMZN,Amazon.com Inc,2021-10-04,163.9695,163.9995,158.8125,159.489,90461140.0,-0.02847170190603243
AMZN,Amazon.com Inc,2021-10-05,160.225,163.0365,160.1232,161.05,65384160.0,0.00978750885641011
AMZN,Amazon.com Inc,2021-10-06,160.6765,163.217,159.931,163.1005,50659540.0,0.01273207078547034
AMZN,Amazon.com Inc,2021-10-07,164.577,166.2873,164.153,165.1215,48181500.0,0.012391133074392657
AMZN,Amazon.com Inc,2021-10-08,165.85,166.0715,164.41,164.431,39964340.0,-0.004181769182087014
AMZN,Amazon.com Inc,2021-10-11,163.75,164.629495,161.905,162.315,40684060.0,-0.012868619664175296
AMZN,Amazon.com Inc,2021-10-12,162.85,163.3764,161.814,162.3665,36391420.0,0.00031728429288735427
AMZN,Amazon.com Inc,2021-10-13,163.4855,164.419,163.054445,164.214,48501720.0,0.011378578709278164
AMZN,Amazon.com Inc,2021-10-14,165.122705,165.63,164.539,164.993,42240400.0,0.0047438099065852946
AMZN,Amazon.com Inc,2021-10-15,165.571,170.521,165.2,170.451,103598820.0,0.033080191280842275
AMZN,Amazon.com Inc,2021-10-18,169.41788,172.4585,169.255,172.337,63482300.0,0.011064763480413742
AMZN,Amazon.com Inc,2021-10-19,171.7145,172.7345,171.1,172.2075,47721580.0,-0.0007514346890103996
AMZN,Amazon.com Inc,2021-10-20,172.633,173.143,170.0185,170.753,42795540.0,-0.00844620588534195
AMZN,Amazon.com Inc,2021-10-21,170.7125,172.014,170.15,171.7505,37627700.0,0.005841771447646638
AMZN,Amazon.com Inc,2021-10-22,171.05,171.492,166.565,166.7775,62781060.0,-0.02895479198022699
AMZN,Amazon.com Inc,2021-10-25,166.75,167.389985,164.885,166.0185,44519120.0,-0.004550973602554409
AMZN,Amazon.com Inc,2021-10-26,167.4755,170.806,167.199,168.8035,53966840.0,0.016775238904098266
AMZN,Amazon.com Inc,2021-10-27,169.4,171.85,168.57267,169.6245,54044480.0,0.0048636432301463195
AMZN,Amazon.com Inc,2021-10-28,170.10475,173.95,169.3,172.3285,114174660.0,0.015941093415160923
AMZN,Amazon.com Inc,2021-10-29,165.001,168.741,163.666,168.6215,129721540.0,-0.021511241611225085
AMZN,Amazon.com Inc,2021-11-01,168.09,168.793,164.601,165.9055,72177580.0,-0.016107080057999767
AMZN,Amazon.com Inc,2021-11-02,165.7505,166.55575,164.1775,165.6375,52551800.0,-0.0016153774287169798
AMZN,Amazon.com Inc,2021-11-03,165.45,169.746,164.876,169.2,67943780.0,0.02150781073126562
AMZN,Amazon.com Inc,2021-11-04,168.5,174.93125,168.250005,173.85,107060400.0,0.027482269503546153
AMZN,Amazon.com Inc,2021-11-05,173.85,178.3125,173.849,175.9495,99939020.0,0.01207650273224048
AMZN,Amazon.com Inc,2021-11-08,176.162,178.95,174.393,174.449,61479840.0,-0.00852801514070789
AMZN,Amazon.com Inc,2021-11-09,175.7625,179.6885,175.07125,178.8115,85898440.0,0.0250073087263325
AMZN,Amazon.com Inc,2021-11-10,178.1935,180.2725,173.1545,174.1025,80548440.0,-0.026334995232409564
AMZN,Amazon.com Inc,2021-11-11,175.65,177.162,173.3735,173.625,45288120.0,-0.002742637239557144
AMZN,Amazon.com Inc,2021-11-12,174.25,177.03631,172.3525,176.2575,53788680.0,0.015161987041036662
AMZN,Amazon.com Inc,2021-11-15,176.85,179.694,176.2905,177.284,58594380.0,0.00582386565110693
AMZN,Amazon.com Inc,2021-11-16,176.95,178.825,176.25733,177.035,44341420.0,-0.0014045260711625929
AMZN,Amazon.com Inc,2021-11-17,178.236,179.36225,177.2675,177.45,51205400.0,0.0023441692320727014
AMZN,Amazon.com Inc,2021-11-18,178.3175,185.21,178.05,184.803,114070760.0,0.04143702451394771
AMZN,Amazon.com Inc,2021-11-19,185.6345,188.10725,183.786,183.8285,98924060.0,-0.00527318279465161
AMZN,Amazon.com Inc,2021-11-22,183.81884,185.67275,178.375,178.6285,96957000.0,-0.028287235113162446
AMZN,Amazon.com Inc,2021-11-23,179.252,181.0525,176.3855,179.002,73844920.0,0.002090931738216506
AMZN,Amazon.com Inc,2021-11-24,178.1335,180.682,176.8425,179.0205,46560360.0,0.00010335080054968415
AMZN,Amazon.com Inc,2021-11-26,180.10475,181.675,175.2075,175.228,59825940.0,-0.02118472465443899
AMZN,Amazon.com Inc,2021-11-29,177.382215,179.8,176.575005,178.0785,65311140.0,0.016267377359782564
AMZN,Amazon.com Inc,2021-11-30,178.175,179.2885,174.6005,175.3535,80022140.0,-0.015302240304135517
AMZN,Amazon.com Inc,2021-12-01,177.25,177.994,172.08,172.186,75139900.0,-0.01806351170635312
AMZN,Amazon.com Inc,2021-12-02,173.0,174.635,171.1875,171.868,64725760.0,-0.0018468400450676326
AMZN,Amazon.com Inc,2021-12-03,172.75,173.49325,166.93,169.4895,80711000.0,-0.01383910908371544
AMZN,Amazon.com Inc,2021-12-06,169.65,173.6955,166.9345,171.3685,68860000.0,0.011086232480478353
AMZN,Amazon.com Inc,2021-12-07,174.6,177.4995,173.3345,176.1645,66410720.0,0.027986473593454964
AMZN,Amazon.com Inc,2021-12-08,176.1505,177.18,174.7505,176.158,45253660.0,-3.6897331755381124e-05
AMZN,Amazon.com Inc,2021-12-09,175.75,176.9695,174.1395,174.171,46061820.0,-0.011279646680820599
AMZN,Amazon.com Inc,2021-12-10,175.417,175.927,170.5,172.212,60689760.0,-0.011247567046178797
AMZN,Amazon.com Inc,2021-12-13,172.0,172.1,169.13,169.5675,62169000.0,-0.015356072747543692
AMZN,Amazon.com Inc,2021-12-14,167.55,169.499,166.44,169.0915,55975280.0,-0.0028071416987335285
AMZN,Amazon.com Inc,2021-12-15,168.598,173.6,165.195,173.315,75794260.0,0.024977600884728002
AMZN,Amazon.com Inc,2021-12-16,173.36857,174.166,168.16025,168.871,60876840.0,-0.025641173585667643
AMZN,Amazon.com Inc,2021-12-17,167.7105,170.8985,165.61355,170.0175,85755160.0,0.006789205961947209
AMZN,Amazon.com Inc,2021-12-20,166.85,167.874255,165.6,167.079,57372660.0,-0.017283514932286415
AMZN,Amazon.com Inc,2021-12-21,167.8505,170.716495,165.6475,170.417,55955820.0,0.019978573010372314
